Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774969787,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969788,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969789,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969790,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969791,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969792,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969793,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969794,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969795,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969796,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969797,10,,Aggregated,0.000000,0.000000,860,860,860,860,860,860,860,860,860,860,860,1,0,863.1191509998644,863.1191509998644,863.1191509998644,863.1191509998644,74.0
1774969798,10,,Aggregated,0.000000,0.000000,40000,40000,41000,41000,41000,41000,41000,41000,41000,41000,41000,4,0,40000.0,30538.308900249944,863.1191509998644,40907.867914000235,126.0
1774969799,10,,Aggregated,0.000000,0.000000,40000,40000,40000,41000,41000,41000,41000,41000,41000,41000,41000,5,0,40000.0,32329.45931499989,863.1191509998644,40907.867914000235,136.4
1774969800,10,,Aggregated,0.000000,0.000000,40000,40000,40000,40000,41000,41000,41000,41000,41000,41000,41000,8,0,39000.0,25475.098680874904,863.1191509998644,40907.867914000235,148.625
1774969801,10,,Aggregated,0.300000,0.000000,40000,40000,40000,40000,41000,41000,41000,41000,41000,41000,41000,10,0,39000.0,24551.807177399904,863.1191509998644,40907.867914000235,154.5
1774969802,10,,Aggregated,0.400000,0.000000,39000,40000,40000,40000,40000,41000,41000,41000,41000,41000,41000,13,0,39000.0,22142.603912461465,863.1191509998644,40907.867914000235,206.3846153846154
1774969803,10,,Aggregated,0.700000,0.000000,39000,39000,40000,40000,40000,41000,41000,41000,41000,41000,41000,15,0,39000.0,21943.453501133296,863.1191509998644,40907.867914000235,202.6
1774969804,10,,Aggregated,0.900000,0.000000,39000,39000,40000,40000,40000,41000,41000,41000,41000,41000,41000,19,0,39000.0,21581.235875421047,863.1191509998644,40907.867914000235,196.0
1774969805,10,,Aggregated,1.200000,0.000000,1900,39000,39000,40000,40000,40000,41000,41000,41000,41000,41000,21,0,1900.0,19630.126724380938,863.1191509998644,40907.867914000235,194.28571428571428
1774969806,10,,Aggregated,1.800000,0.000000,1900,39000,39000,40000,40000,40000,41000,41000,41000,41000,41000,24,0,1900.0,17571.29417329164,863.1191509998644,40907.867914000235,201.70833333333334
