Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10,0,2100.0,4742.681827199976,712.263534000158,17400.350441999763,74.0,0.1709187593181972,0.0,2300,2500,6000,12000,17000,17000,17000,17000,17000,17000,17000
GET,/history,10,0,2400.0,8303.809597900135,1537.5442839999778,23915.973570000006,255.0,0.1709187593181972,0.0,3400,12000,13000,21000,24000,24000,24000,24000,24000,24000,24000
POST,/predict,92,0,2900.0,5651.478322923901,1003.4832720002669,23220.303017999868,178.0,1.572452585727414,0.0,2900,3100,3600,7100,19000,22000,23000,23000,23000,23000,23000
GET,/results,4,0,2600.0,6779.959292749936,1805.906733000029,18967.947701999947,659.0,0.06836750372727887,0.0,3800,3800,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,/status,12,0,2300.0,9007.559777166685,775.7780520000779,22188.309049000054,405.0,0.20510251118183662,0.0,2700,15000,19000,19000,21000,22000,22000,22000,22000,22000,22000
,Aggregated,128,0,2800.0,6137.589644195312,712.263534000158,23915.973570000006,212.203125,2.187760119272924,0.0,2800,3300,6000,12000,20000,22000,23000,23000,24000,24000,24000
