Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15,0,3600.0,8386.115363800005,685.2445539998371,26265.594621999753,74.0,0.2539481739797767,0.0,3600,9700,14000,21000,23000,26000,26000,26000,26000,26000,26000
GET,/history,13,0,2400.0,7897.194331615292,1097.7368779999779,31117.85891799991,255.0,0.22008841744913982,0.0,2400,2600,3300,25000,26000,31000,31000,31000,31000,31000,31000
POST,/predict,94,0,2800.0,8375.9160012447,979.6966920002887,33041.651908999935,178.0,1.591408556939934,0.0,2800,3700,11000,18000,29000,32000,32000,33000,33000,33000,33000
GET,/results,7,0,2000.0,6465.1195237143575,1320.1485979998324,29407.1346970004,659.0,0.11850914785722913,0.0,2000,2400,6900,6900,29000,29000,29000,29000,29000,29000,29000
GET,/status,9,0,1900.0,1964.0772353333584,1304.134372000135,3302.114219000032,405.0,0.15236890438786602,0.0,1900,1900,1900,2700,3300,3300,3300,3300,3300,3300,3300
,Aggregated,138,0,2700.0,7816.839801949283,685.2445539998371,33041.651908999935,213.15217391304347,2.3363232006139456,0.0,2700,3300,8900,15000,28000,31000,32000,32000,33000,33000,33000
