Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774969933,30,,Aggregated,2.200000,0.000000,2800,3600,4600,7300,13000,15000,18000,19000,19000,19000,19000,64,0,2700.0,4681.155881312513,685.2445539998371,19082.640200999776,189.703125
1774969934,30,,Aggregated,2.200000,0.000000,2700,3300,4300,7300,13000,15000,18000,19000,19000,19000,19000,65,0,2700.0,4638.233801984628,685.2445539998371,19082.640200999776,193.01538461538462
1774969935,30,,Aggregated,2.200000,0.000000,2700,3600,4600,7300,14000,16000,19000,20000,20000,20000,20000,67,0,2700.0,4832.969806089565,685.2445539998371,20029.690009000205,192.56716417910448
1774969936,30,,Aggregated,2.200000,0.000000,2700,3600,4600,8100,15000,18000,20000,21000,21000,21000,21000,70,0,2700.0,5006.005904414301,685.2445539998371,21152.484288999858,190.45714285714286
1774969937,30,,Aggregated,2.200000,0.000000,2700,3600,5800,8100,15000,20000,22000,23000,23000,23000,23000,76,0,2700.0,5294.248886197386,685.2445539998371,22664.30744299987,198.43421052631578
1774969938,30,,Aggregated,2.200000,0.000000,2700,3300,4600,8100,15000,20000,22000,23000,23000,23000,23000,77,0,2700.0,5245.306854558457,685.2445539998371,22664.30744299987,198.16883116883116
1774969939,30,,Aggregated,2.300000,0.000000,2700,3300,4600,8100,15000,20000,22000,23000,23000,23000,23000,79,0,2700.0,5166.565340164577,685.2445539998371,22664.30744299987,197.65822784810126
1774969940,30,,Aggregated,2.400000,0.000000,2700,3300,5800,8900,16000,21000,25000,25000,25000,25000,25000,84,0,2700.0,5499.8219484285855,685.2445539998371,24836.74532699979,204.04761904761904
1774969941,30,,Aggregated,2.200000,0.000000,2700,3300,5800,8900,18000,22000,25000,26000,26000,26000,26000,86,0,2700.0,5687.564738430246,685.2445539998371,25527.36369599961,204.3372093023256
1774969942,30,,Aggregated,2.400000,0.000000,2700,3600,6900,9700,19000,23000,26000,26000,26000,26000,26000,88,0,2700.0,5867.907486579558,685.2445539998371,26265.594621999753,202.5568181818182
